address,hwaddr,client_id,valid_lifetime,expire,subnet_id,fqdn_fwd,fqdn_rev,hostname,state,user_context,pool_id
10.95.0.130,80:e4:da:20:e1:96,01:80:e4:da:20:e1:96,3600,1727786265,3,1,1,t590447.prod.unibap.net,0,,0
10.95.0.207,7c:4d:8f:00:06:46,01:7c:4d:8f:00:06:46,3600,1727786268,3,1,1,bap082l.prod.unibap.net,0,,0
10.95.0.209,e8:6a:64:4f:e7:a6,01:e8:6a:64:4f:e7:a6,3600,1727786286,3,1,1,bap104l.prod.unibap.net,0,,0
10.95.0.30,7c:4d:8f:00:06:1c,01:7c:4d:8f:00:06:1c,3600,1727786294,3,1,1,bap081l.prod.unibap.net,0,,0
10.95.0.123,2c:58:b9:35:bd:c6,01:2c:58:b9:35:bd:c6,3600,1727786411,3,1,1,bap122.corp.unibap.net.prod.unibap.net.,0,,0
10.95.0.27,e8:6a:64:55:09:e4,01:e8:6a:64:55:09:e4,3600,1727786452,3,1,1,bap103.corp.unibap.net.prod.unibap.net.,0,,0
10.95.0.66,80:e4:da:20:c6:92,01:80:e4:da:20:c6:92,3600,1727786600,3,1,1,t575698.prod.unibap.net,0,,0
10.95.0.28,c8:54:4b:f9:23:77,01:c8:54:4b:f9:23:77,3600,1727786648,3,1,1,,0,,0
10.95.0.28,c8:54:4b:f9:23:77,01:c8:54:4b:f9:23:77,3600,1727786648,3,1,1,ip-10-95-0-28.prod.unibap.net,0,,0
10.95.0.194,1c:21:d1:df:fe:47,,3600,1727786764,3,1,1,unibap-ode-e21xx.prod.unibap.net,0,,0
10.95.0.79,78:9a:18:2b:90:a2,01:78:9a:18:2b:90:a2,3600,1727786775,3,1,1,bapprodsw04.prod.unibap.net,0,,0
10.95.0.170,1c:21:d1:df:fd:d2,,3600,1727786776,3,1,1,unibap-ode-e21xx.prod.unibap.net,0,,0
10.95.0.80,1c:39:47:ec:86:ef,01:1c:39:47:ec:86:ef,3600,1727786857,3,1,1,unibap-lenovo-ideapad-510s-13ikb.prod.unibap.net,0,,0
10.95.0.87,80:e4:da:20:ab:25,01:80:e4:da:20:ab:25,3600,1727786871,3,1,1,t1908p.prod.unibap.net,0,,0
10.95.0.78,80:e4:da:20:ab:3f,01:80:e4:da:20:ab:3f,3600,1727786876,3,1,1,t.prod.unibap.net,0,,0
10.95.0.23,2c:cf:67:27:3c:ce,01:2c:cf:67:27:3c:ce,3600,1727786890,3,1,1,spacepi.prod.unibap.net,0,,0
10.95.0.24,04:7b:cb:a3:9f:e2,01:04:7b:cb:a3:9f:e2,3600,1727786913,3,1,1,bap095l.prod.unibap.net,0,,0
10.95.0.195,80:e4:da:20:e1:95,01:80:e4:da:20:e1:95,3600,1727786974,3,1,1,t590445.prod.unibap.net,0,,0
10.95.0.191,1c:21:d1:df:fe:29,,3600,1727783379,3,0,0,,2,,0
10.95.0.65,80:e4:da:20:d7:0d,01:80:e4:da:20:d7:0d,3600,1727787019,3,1,1,t586063.prod.unibap.net,0,,0
10.95.0.206,80:e4:da:20:c6:8b,01:80:e4:da:20:c6:8b,3600,1727787073,3,1,1,t575763.prod.unibap.net,0,,0
10.95.0.130,80:e4:da:20:e1:96,01:80:e4:da:20:e1:96,3600,1727787165,3,1,1,t590447.prod.unibap.net,0,,0
10.95.0.207,7c:4d:8f:00:06:46,01:7c:4d:8f:00:06:46,3600,1727787168,3,1,1,bap082l.prod.unibap.net,0,,0
10.95.0.209,e8:6a:64:4f:e7:a6,01:e8:6a:64:4f:e7:a6,3600,1727787186,3,1,1,bap104l.prod.unibap.net,0,,0
10.95.0.30,7c:4d:8f:00:06:1c,01:7c:4d:8f:00:06:1c,3600,1727787194,3,1,1,bap081l.prod.unibap.net,0,,0
10.95.0.123,2c:58:b9:35:bd:c6,01:2c:58:b9:35:bd:c6,3600,1727787320,3,1,1,bap122.corp.unibap.net.prod.unibap.net.,0,,0
10.95.0.27,e8:6a:64:55:09:e4,01:e8:6a:64:55:09:e4,3600,1727787351,3,1,1,bap103.corp.unibap.net.prod.unibap.net.,0,,0
10.95.0.21,78:9a:18:2b:97:46,01:78:9a:18:2b:97:46,3600,1727787381,3,1,1,bapprodsw06.prod.unibap.net,0,,0
10.95.0.170,1c:21:d1:df:fd:d2,,3600,1727787452,3,1,1,unibap-ode-e21xx.prod.unibap.net,0,,0
10.95.0.66,80:e4:da:20:c6:92,01:80:e4:da:20:c6:92,3600,1727787501,3,1,1,t575698.prod.unibap.net,0,,0
10.95.0.28,c8:54:4b:f9:23:77,01:c8:54:4b:f9:23:77,3600,1727787548,3,1,1,,0,,0
10.95.0.28,c8:54:4b:f9:23:77,01:c8:54:4b:f9:23:77,3600,1727787548,3,1,1,ip-10-95-0-28.prod.unibap.net,0,,0
10.95.0.194,1c:21:d1:df:fe:47,,3600,1727787595,3,1,1,unibap-ode-e21xx.prod.unibap.net,0,,0
10.95.0.170,1c:21:d1:df:fd:d2,,3600,1727787598,3,1,1,unibap-ode-e21xx.prod.unibap.net,0,,0
10.95.0.80,1c:39:47:ec:86:ef,01:1c:39:47:ec:86:ef,3600,1727787757,3,1,1,unibap-lenovo-ideapad-510s-13ikb.prod.unibap.net,0,,0
10.95.0.87,80:e4:da:20:ab:25,01:80:e4:da:20:ab:25,3600,1727787771,3,1,1,t1908p.prod.unibap.net,0,,0
10.95.0.78,80:e4:da:20:ab:3f,01:80:e4:da:20:ab:3f,3600,1727787776,3,1,1,t.prod.unibap.net,0,,0
10.95.0.23,2c:cf:67:27:3c:ce,01:2c:cf:67:27:3c:ce,3600,1727787790,3,1,1,spacepi.prod.unibap.net,0,,0
10.95.0.24,04:7b:cb:a3:9f:e2,01:04:7b:cb:a3:9f:e2,3600,1727787813,3,1,1,bap095l.prod.unibap.net,0,,0
10.95.0.195,80:e4:da:20:e1:95,01:80:e4:da:20:e1:95,3600,1727787874,3,1,1,t590445.prod.unibap.net,0,,0
10.95.0.170,1c:21:d1:df:fd:d2,,3600,1727787883,3,1,1,unibap-ode-e21xx.prod.unibap.net,0,,0
10.95.0.196,1c:21:d1:df:fe:22,,3600,1727787883,3,1,1,unibap-ode-e21xx.prod.unibap.net,0,,0
10.95.0.65,80:e4:da:20:d7:0d,01:80:e4:da:20:d7:0d,3600,1727787919,3,1,1,t586063.prod.unibap.net,0,,0
10.95.0.20,78:9a:18:2b:95:3e,01:78:9a:18:2b:95:3e,3600,1727787952,3,1,1,bapprodsw03.prod.unibap.net,0,,0
10.95.0.208,78:9a:18:2b:92:bc,01:78:9a:18:2b:92:bc,3600,1727787954,3,1,1,bapprodsw05.prod.unibap.net,0,,0
10.95.0.192,1c:21:d1:df:fe:4f,,3600,1727784371,3,0,0,,2,,0
10.95.0.196,1c:21:d1:df:fe:22,,3600,1727787973,3,1,1,unibap-ode-e21xx.prod.unibap.net,0,,0
10.95.0.206,80:e4:da:20:c6:8b,01:80:e4:da:20:c6:8b,3600,1727787973,3,1,1,t575763.prod.unibap.net,0,,0
10.95.0.170,1c:21:d1:df:fd:d2,,3600,1727787973,3,1,1,unibap-ode-e21xx.prod.unibap.net,0,,0
10.95.0.130,80:e4:da:20:e1:96,01:80:e4:da:20:e1:96,3600,1727788065,3,1,1,t590447.prod.unibap.net,0,,0
10.95.0.207,7c:4d:8f:00:06:46,01:7c:4d:8f:00:06:46,3600,1727788068,3,1,1,bap082l.prod.unibap.net,0,,0
